"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"341","RT @tumisole: Zim twitter is out of order though! 

They say this is why JG Zuma wasn't part of the negotiations on the #Mugabe Deal

 http…",FALSE,0,NA,2017-12-01 07:05:48,FALSE,NA,"936491504201330688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Njabuloknowled1",2599,TRUE,FALSE,NA,NA
"342","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 07:00:37,FALSE,NA,"936490201769218050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cynicaluncle",121,TRUE,FALSE,NA,NA
"343","#KeDezembaBoss Zimbabwe is free from #Mugabe all roads lead to Zimbabwe! https://t.co/E6zGY4rawb",FALSE,2,NA,2017-12-01 07:00:25,FALSE,NA,"936490147717308417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gibbs750",0,FALSE,FALSE,NA,NA
"344","Four things #Zimbabwe can do to recover from the #Mugabe era
https://t.co/Iyk4P8FqDh https://t.co/q1LVcAeZWT",FALSE,0,NA,2017-12-01 07:00:05,FALSE,NA,"936490066922184705",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","bignewsnetwork",1,FALSE,FALSE,NA,NA
"345","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 06:59:00,FALSE,NA,"936489794347118595",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Time2Coach",121,TRUE,FALSE,NA,NA
"346","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 06:50:06,FALSE,NA,"936487554370727937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mambo_Nherera",121,TRUE,FALSE,NA,NA
"347","RT @jollydeltachrgr: #EmmersonMnangagwa the past confidential friend to #Mugabe &amp; fellow disciple of the #Zanupf party takes oath of office…",FALSE,0,NA,2017-12-01 06:45:15,FALSE,NA,"936486331152138240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jollydeltachrgr",1,TRUE,FALSE,NA,NA
"348","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 06:44:19,FALSE,NA,"936486099618336769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valentinapalu10",121,TRUE,FALSE,NA,NA
"349","RT @lutsekeZA: Meeting with #Mugabe <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>(LIKE&amp;RT) #Zimbabawe #siviwelutseke https://t.co/61dDcIbiYS",FALSE,0,NA,2017-12-01 06:38:14,FALSE,NA,"936484567313276928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CJ_Jaho",618,TRUE,FALSE,NA,NA
"350","Zimbabwe's #Mugabe ignores party deadline to quit | Mugabe #Mugabe https://t.co/uzMxTwJDm4",FALSE,1,NA,2017-12-01 06:38:06,FALSE,NA,"936484534035529729",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","linadbg",0,FALSE,FALSE,NA,NA
"351","Zimbabwe's Mugabe ignores party deadline to quit | Mugabe #Mugabe https://t.co/i13e5GdAjW #mugabe",FALSE,0,NA,2017-12-01 06:37:46,FALSE,NA,"936484450719928321",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","linadbg",0,FALSE,FALSE,NA,NA
"352","Nick Mangwana on the Gukurahundi massacres - Things happened on both sides 

=&gt;There were dissidents, tourists were… https://t.co/Qgu9wMhIbG",FALSE,0,NA,2017-12-01 06:35:30,TRUE,NA,"936483877857656832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","povozim",0,FALSE,FALSE,NA,NA
"353","RT @Mugabe1924: #Zimbabwe from a #Mugabe state to a military state. I will just watch from the Blue Roof and if you want me back. Please ma…",FALSE,0,NA,2017-12-01 06:33:24,FALSE,NA,"936483351141273600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bhekokwami2",1,TRUE,FALSE,NA,NA
"354","RT @ED_Josp: @TembaMliswa #Zimbabwe After this cabinet appointment, #Mnangagwa and #Mugabe<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF> https://t.co/cXOVynT0sA",FALSE,0,NA,2017-12-01 06:32:58,FALSE,NA,"936483242093539328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robertchikombor",10,TRUE,FALSE,NA,NA
